id,title,body,priority,destination,creation_time,expiration_time,left_action_text,right_action_text,entity_id,entity_type
339635130987013824,,"You've recovered well from recent activity. With high readiness, give today's workout your all!",1,DESTINATION_MORNING_BRIEF_READINESS,2025-08-08T01:05:32.567490Z,2025-08-08T16:59:59.999999999Z,,,,ENTITY_TYPE_UNSPECIFIED
346443247679532528,Ready to hit your target today?,"You’ve been maintaining fitness recently, and your readiness is high. Aiming for 83-122 cardio load today will help you get back on track to improve your cardio fitness.",1000,DESTINATION_TODAY_FOCUS,2025-08-08T01:05:32.567490Z,2025-08-08T16:59:59.999999999Z,,,,ENTITY_TYPE_UNSPECIFIED
5874555749353184720,Your step cadence slipped,"Your cadence fell by 10.6% compared to your last 10 runs, a sign you may be fatigued. Recovery is an important part of any training plan.",1000,DESTINATION_RUNNING_FORM_L3,2025-08-08T00:58:07.645677Z,2025-08-08T16:59:59.999999999Z,,Try a lower body recovery class,1823043397589529160,ENTITY_TYPE_WORKOUTS
6596959871989160912,Your running efficiency is up!,"In this run, your vertical ratio is 8.3% lower compared to your last 10 runs. A lower ratio can show your running is getting smoother.",1000,DESTINATION_RUNNING_FORM_L3,2025-08-08T00:58:07.441233Z,2025-08-08T16:59:59.999999999Z,,,1823043397589529160,ENTITY_TYPE_WORKOUTS
6352415234060855640,You're running more steadily,Your vertical oscillation is 10.3% lower in this run compared to the last 10 runs. It's a sign you're getting fitter or running more efficiently. Go you!,1000,DESTINATION_RUNNING_FORM_L3,2025-08-08T00:58:07.423972Z,2025-08-08T16:59:59.999999999Z,,,1823043397589529160,ENTITY_TYPE_WORKOUTS
5986592316876031408,Your running efficiency is up!,"In this run, your vertical ratio is 15.4% lower compared to your last 10 runs. A lower ratio can show your running is getting smoother.",1000,DESTINATION_RUNNING_FORM_L3,2025-08-07T23:52:56.071918Z,2025-08-08T16:59:59.999999999Z,,,4287596023662935064,ENTITY_TYPE_WORKOUTS
2620713338249657040,You're running more steadily,Your vertical oscillation is 18.1% lower in this run compared to the last 10 runs. It's a sign you're getting fitter or running more efficiently. Go you!,1000,DESTINATION_RUNNING_FORM_L3,2025-08-07T23:52:55.962412Z,2025-08-08T16:59:59.999999999Z,,,4287596023662935064,ENTITY_TYPE_WORKOUTS
4770070018691160832,Step cadence trending up,"This month, your average step cadence was 6.2% higher than usual, which could mean you're getting fitter. Keep up the good work!",1000,DESTINATION_RUNNING_L2,2025-08-07T00:48:38.193081Z,2025-08-31T16:59:59.999999999Z,,,,ENTITY_TYPE_UNSPECIFIED
1347288748548971352,Less bounce = more efficiency,"This month, your average vertical oscillation was 12.6% lower than it was the previous 6 months, which means you're running more smoothly. Way to go!",1000,DESTINATION_RUNNING_L2,2025-08-06T23:59:28.047455Z,2025-08-31T16:59:59.999999999Z,,,,ENTITY_TYPE_UNSPECIFIED
1015823591722622560,Running more efficiently,"Way to go! This month, your average vertical ratio is 14.3% lower than usual, a sign of better running efficiency and fitness.",1000,DESTINATION_RUNNING_L2,2025-08-06T23:59:27.816986Z,2025-08-31T16:59:59.999999999Z,,Learn how VR improves your running,,ENTITY_TYPE_UNSPECIFIED
8085835226664215128,Big boost in weekly running distance,Your average weekly running distance increased 71.2% over the last 4 weeks compared to the previous 2 months. Keep up the great work!,1000,DESTINATION_RUNNING_L2,2025-08-05T00:00:36.656616Z,2025-08-12T00:00:36.656616Z,,,,ENTITY_TYPE_UNSPECIFIED
